State,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland,0.0,0.0,0.0,1566.2241890483053,2453058.210360022,790.3411060393258,1566.2241890483053,2453058.210360022,790.3411060393258,1566.2241890483053,2453058.210360022,790.3411060393258,790.3411060393258
Massachusetts,0.0,0.0,0.0,1269.6710475589034,1612064.5690093234,679.8905278604498,1269.6710475589034,1612064.5690093234,679.8905278604498,1269.6710475589034,1612064.5690093234,679.8905278604498,679.8905278604498
Michigan,0.0,0.0,0.0,3593.9436376510444,12916430.870612422,2198.493021987583,3593.9436376510444,12916430.870612422,2198.493021987583,3593.9436376510444,12916430.870612422,2198.493021987583,2198.493021987583
Minnesota,0.0,0.0,0.0,824.4099771336321,679651.8103974757,548.5490288642413,824.4099771336321,679651.8103974757,548.5490288642413,824.4099771336321,679651.8103974757,548.5490288642413,548.5490288642413
Mississippi,0.0,0.0,0.0,594.8344006585307,353827.9642067935,300.0510602678571,594.8344006585307,353827.9642067935,300.0510602678571,594.8344006585307,353827.9642067935,300.0510602678571,300.0510602678571
Missouri,0.0,0.0,0.0,1590.1983555236388,2528730.809910085,787.3364405518893,1590.1983555236388,2528730.809910085,787.3364405518893,1590.1983555236388,2528730.809910085,787.3364405518893,787.3364405518893
Montana,0.0,0.0,0.0,1194.5730302392567,1427004.7245750001,348.1525,1194.5730302392567,1427004.7245750001,348.1525,1194.5730302392567,1427004.7245750001,348.1525,348.1525
Nebraska,0.0,0.0,0.0,952.2169573551328,906717.1338746668,315.5903333333333,952.2169573551328,906717.1338746668,315.5903333333333,952.2169573551328,906717.1338746668,315.5903333333333,315.5903333333333
Nevada,0.0,0.0,0.0,350.65522022113595,122959.08346833335,122.37983333333334,350.65522022113595,122959.08346833335,122.37983333333334,350.65522022113595,122959.08346833335,122.37983333333334,122.37983333333334
