State,Year-Month,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
Colorado,2018-08,0.0,0.0,0.0,1128.672,1273900.483584,1128.672,1128.672,1273900.483584,1128.672,1128.672,1273900.483584,1128.672,1128.672
Colorado,2018-09,0.0,0.0,0.0,1138.3878969072166,1295927.0038248356,1138.3878969072166,1138.3878969072166,1295927.0038248356,1138.3878969072166,1138.3878969072166,1295927.0038248356,1138.3878969072166,1138.3878969072166
Colorado,2018-10,0.0,0.0,0.0,646.1279999999999,417481.3923839999,646.1279999999999,646.1279999999999,417481.3923839999,646.1279999999999,646.1279999999999,417481.3923839999,646.1279999999999,646.1279999999999
Colorado,2018-11,0.0,0.0,0.0,1494.7211670761671,2234191.367305539,1494.7211670761671,1494.7211670761671,2234191.367305539,1494.7211670761671,1494.7211670761671,2234191.367305539,1494.7211670761671,1494.7211670761671
Colorado,2018-12,0.0,0.0,0.0,2885.002696264544,8323240.557453687,2885.002696264544,2885.002696264544,8323240.557453687,2885.002696264544,2885.002696264544,8323240.557453687,2885.002696264544,2885.002696264544
Connecticut,2018-01,0.0,0.0,0.0,3.52,12.3904,3.52,3.52,12.3904,3.52,3.52,12.3904,3.52,3.52
Connecticut,2018-02,0.0,0.0,0.0,976.5822219451371,953712.8362193011,976.5822219451371,976.5822219451371,953712.8362193011,976.5822219451371,976.5822219451371,953712.8362193011,976.5822219451371,976.5822219451371
Connecticut,2018-03,0.0,0.0,0.0,823.12,677526.5344,823.12,823.12,677526.5344,823.12,823.12,677526.5344,823.12,823.12
Connecticut,2018-04,0.0,0.0,0.0,403.02,162425.12039999999,403.02,403.02,162425.12039999999,403.02,403.02,162425.12039999999,403.02,403.02
Connecticut,2018-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connecticut,2018-06,0.0,0.0,0.0,705.0300000000001,497067.30090000015,705.0300000000001,705.0300000000001,497067.30090000015,705.0300000000001,705.0300000000001,497067.30090000015,705.0300000000001,705.0300000000001
Connecticut,2018-07,0.0,0.0,0.0,847.46,718188.4516,847.46,847.46,718188.4516,847.46,847.46,718188.4516,847.46,847.46
Connecticut,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connecticut,2018-09,0.0,0.0,0.0,178.51999999999998,31869.390399999993,178.51999999999998,178.51999999999998,31869.390399999993,178.51999999999998,178.51999999999998,31869.390399999993,178.51999999999998,178.51999999999998
Connecticut,2018-10,0.0,0.0,0.0,13.05,170.3025,13.05,13.05,170.3025,13.05,13.05,170.3025,13.05,13.05
Connecticut,2018-11,0.0,0.0,0.0,127.372,16223.626384,127.372,127.372,16223.626384,127.372,127.372,16223.626384,127.372,127.372
Connecticut,2018-12,0.0,0.0,0.0,1563.65,2445001.3225000002,1563.65,1563.65,2445001.3225000002,1563.65,1563.65,2445001.3225000002,1563.65,1563.65
Delaware,2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,2018-03,0.0,0.0,0.0,617.6801670761671,381528.7887992417,617.6801670761671,617.6801670761671,381528.7887992417,617.6801670761671,617.6801670761671,381528.7887992417,617.6801670761671,617.6801670761671
Delaware,2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,2018-05,0.0,0.0,0.0,299.52,89712.23039999999,299.52,299.52,89712.23039999999,299.52,299.52,89712.23039999999,299.52,299.52
Delaware,2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,2018-07,0.0,0.0,0.0,1690.9257502930834,2859229.893004227,1690.9257502930834,1690.9257502930834,2859229.893004227,1690.9257502930834,1690.9257502930834,2859229.893004227,1690.9257502930834,1690.9257502930834
Delaware,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,2018-09,0.0,0.0,0.0,3280.107,10759101.931449,3280.107,3280.107,10759101.931449,3280.107,3280.107,10759101.931449,3280.107,3280.107
Delaware,2018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,2018-11,0.0,0.0,0.0,10756.85,115709821.92250001,10756.85,10756.85,115709821.92250001,10756.85,10756.85,115709821.92250001,10756.85,10756.85
Delaware,2018-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-01,0.0,0.0,0.0,77.75999999999999,6046.617599999999,77.75999999999999,77.75999999999999,6046.617599999999,77.75999999999999,77.75999999999999,6046.617599999999,77.75999999999999,77.75999999999999
District of Columbia,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,2018-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2018-01,0.0,0.0,0.0,421.944,178036.73913600002,421.944,421.944,178036.73913600002,421.944,421.944,178036.73913600002,421.944,421.944
Florida,2018-02,0.0,0.0,0.0,255.073268164794,65062.372132268916,255.073268164794,255.073268164794,65062.372132268916,255.073268164794,255.073268164794,65062.372132268916,255.073268164794,255.073268164794
Florida,2018-03,0.0,0.0,0.0,133.126,17722.531876,133.126,133.126,17722.531876,133.126,133.126,17722.531876,133.126,133.126
Florida,2018-04,0.0,0.0,0.0,3706.4315,13737634.46419225,3706.4315,3706.4315,13737634.46419225,3706.4315,3706.4315,13737634.46419225,3706.4315,3706.4315
Florida,2018-05,0.0,0.0,0.0,4056.142,16452287.924163999,4056.142,4056.142,16452287.924163999,4056.142,4056.142,16452287.924163999,4056.142,4056.142
Florida,2018-06,0.0,0.0,0.0,3086.087696264544,9523937.269035399,3086.087696264544,3086.087696264544,9523937.269035399,3086.087696264544,3086.087696264544,9523937.269035399,3086.087696264544,3086.087696264544
Florida,2018-07,0.0,0.0,0.0,379.6,144096.16,379.6,379.6,144096.16,379.6,379.6,144096.16,379.6,379.6
Florida,2018-08,0.0,0.0,0.0,260.416,67816.49305599999,260.416,260.416,67816.49305599999,260.416,260.416,67816.49305599999,260.416,260.416
Florida,2018-09,0.0,0.0,0.0,2070.9503450292395,4288835.331576726,2070.9503450292395,2070.9503450292395,4288835.331576726,2070.9503450292395,2070.9503450292395,4288835.331576726,2070.9503450292395,2070.9503450292395
Florida,2018-10,0.0,0.0,0.0,1773.647,3145823.680609,1773.647,1773.647,3145823.680609,1773.647,1773.647,3145823.680609,1773.647,1773.647
Florida,2018-11,0.0,0.0,0.0,5234.902,27404198.949604,5234.902,5234.902,27404198.949604,5234.902,5234.902,27404198.949604,5234.902,5234.902
Florida,2018-12,0.0,0.0,0.0,1183.3509999999999,1400319.5892009998,1183.3509999999999,1183.3509999999999,1400319.5892009998,1183.3509999999999,1183.3509999999999,1400319.5892009998,1183.3509999999999,1183.3509999999999
Georgia,2018-01,0.0,0.0,0.0,447.84222194513717,200562.6557567575,447.84222194513717,447.84222194513717,200562.6557567575,447.84222194513717,447.84222194513717,200562.6557567575,447.84222194513717,447.84222194513717
Georgia,2018-02,0.0,0.0,0.0,1245.86,1552167.1395999996,1245.86,1245.86,1552167.1395999996,1245.86,1245.86,1552167.1395999996,1245.86,1245.86
Georgia,2018-03,0.0,0.0,0.0,4186.91,17530215.3481,4186.91,4186.91,17530215.3481,4186.91,4186.91,17530215.3481,4186.91,4186.91
Georgia,2018-04,0.0,0.0,0.0,3834.1099999999997,14700399.492099997,3834.1099999999997,3834.1099999999997,14700399.492099997,3834.1099999999997,3834.1099999999997,14700399.492099997,3834.1099999999997,3834.1099999999997
Georgia,2018-05,0.0,0.0,0.0,1622.807268164794,2633503.429608482,1622.807268164794,1622.807268164794,2633503.429608482,1622.807268164794,1622.807268164794,2633503.429608482,1622.807268164794,1622.807268164794
Georgia,2018-06,0.0,0.0,0.0,544.14,296088.3396,544.14,544.14,296088.3396,544.14,544.14,296088.3396,544.14,544.14
Georgia,2018-07,0.0,0.0,0.0,449.48600000000005,202037.66419600006,449.48600000000005,449.48600000000005,202037.66419600006,449.48600000000005,449.48600000000005,202037.66419600006,449.48600000000005,449.48600000000005
Georgia,2018-08,0.0,0.0,0.0,71.98,5181.120400000001,71.98,71.98,5181.120400000001,71.98,71.98,5181.120400000001,71.98,71.98
Georgia,2018-09,0.0,0.0,0.0,2612.6307526030673,6825839.44944727,2612.6307526030673,2612.6307526030673,6825839.44944727,2612.6307526030673,2612.6307526030673,6825839.44944727,2612.6307526030673,2612.6307526030673
Georgia,2018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,2018-11,0.0,0.0,0.0,74.1,5490.8099999999995,74.1,74.1,5490.8099999999995,74.1,74.1,5490.8099999999995,74.1,74.1
Georgia,2018-12,0.0,0.0,0.0,479.97,230371.20090000003,479.97,479.97,230371.20090000003,479.97,479.97,230371.20090000003,479.97,479.97
Idaho,2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,2018-05,0.0,0.0,0.0,814.526,663452.604676,814.526,814.526,663452.604676,814.526,814.526,663452.604676,814.526,814.526
Idaho,2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
